country,year,export,gdp,gdpgrowth,gdppercapita,merchexport,merchtrade,population,trade
Australia,1976,14.2,104.9,2.6,7476.7,13.2,24.2,14.0,26.9
Australia,1979,19.3,134.7,4.0,9281.5,18.7,27.4,14.5,29.7
Australia,1986,27.3,182.0,4.0,11364.2,22.6,26.7,16.0,33.1
Australia,1990,47.1,310.8,3.6,18211.3,39.8,26.3,17.1,32.2
Australia,1995,65.8,367.2,3.8,20319.6,53.1,31.2,18.1,37.8
Australia,2001,84.1,378.4,1.9,19490.9,63.4,33.6,19.4,44.4
Australia,2007,172.4,853.1,3.8,40960.1,141.4,36.0,20.8,42.1
Australia,2012,332.1,1546.2,3.9,68012.1,256.7,33.5,22.7,43.2
Australia,2017,281.9,1330.1,2.4,54066.5,231.1,34.6,24.6,41.8
Brazil,1976,10.7,152.7,9.8,1390.6,10.1,15.6,109.8,16.5
Brazil,1979,16.0,225.0,6.8,1908.5,15.2,15.6,117.9,16.3
Brazil,1986,23.6,268.1,8.0,1941.5,22.3,14.1,138.1,15.2
Brazil,1990,37.9,462.0,-3.1,3100.3,31.4,11.7,149.0,15.2
Brazil,1995,57.9,769.3,4.4,4748.2,46.5,13.1,162.0,17.0
Brazil,2001,69.2,559.4,1.4,3156.8,58.3,20.9,177.2,26.9
Brazil,2007,186.2,1397.1,6.1,7348.0,160.6,20.6,190.1,25.3
Brazil,2012,292.8,2465.2,1.9,12370.0,242.6,19.3,199.3,25.1
Brazil,2017,258.3,2062.8,1.3,9925.4,217.8,18.2,207.8,24.3
Canada,1976,44.9,206.6,5.9,8809.3,40.6,39.1,23.4,44.4
Canada,1979,64.2,243.1,3.7,10043.7,58.3,47.3,24.2,52.4
Canada,1986,102.3,377.4,2.1,14461.1,90.3,46.6,26.1,53.3
Canada,1990,149.5,593.9,0.2,21448.4,127.6,42.2,27.7,50.2
Canada,1995,218.7,604.0,2.7,20613.8,192.2,59.7,29.3,69.3
Canada,2001,310.7,736.4,1.4,23738.2,259.9,66.2,31.0,78.6
Canada,2007,502.8,1465.0,6.9,44543.0,420.7,55.4,32.9,66.5
Canada,2012,555.1,1828.7,1.8,52678.4,455.6,51.0,34.7,62.6
Canada,2017,518.2,1649.9,3.2,45148.6,420.7,52.4,36.5,65.0
China,1976,6.9,153.9,-1.6,165.4,6.9,8.8,930.7,8.8
China,1979,9.2,178.3,7.6,184.0,13.6,16.4,969.0,11.1
China,1986,26.2,300.8,8.9,281.9,30.9,24.6,1066.8,19.9
China,1990,49.1,360.9,3.9,317.9,62.1,32.0,1135.2,24.3
China,1995,131.9,734.5,10.9,609.7,148.8,38.2,1204.9,34.3
China,2001,272.1,1339.4,8.3,1053.1,266.1,38.1,1271.9,38.5
China,2007,1258.1,3550.3,14.2,2694.0,1220.5,61.3,1317.9,62.2
China,2012,2175.1,8532.2,7.9,6316.9,2048.7,45.3,1350.7,48.3
China,2017,2424.2,12310.4,6.9,8879.4,2263.3,33.4,1386.4,37.6
France,1976,72.0,372.3,4.4,6866.8,56.9,32.5,54.2,39.6
France,1979,127.2,614.0,3.5,11179.6,100.7,33.8,54.9,41.0
France,1986,157.3,771.5,2.3,13540.2,124.9,33.0,57.0,40.9
France,1990,266.2,1269.2,2.9,21793.8,216.6,35.5,58.2,42.7
France,1995,362.2,1601.1,2.1,26890.2,301.2,36.9,59.5,43.6
